platform,key,name,rating,user_numbers,creator,last_updated,reviews
firefox,olycash-links,OlyCash Links,0.0,1,OlyCash Inc.,2020-07-18 00:00:00,[]
firefox,befrugal-automatic-coupons,"BeFrugal: Automatic Coupons, Highest CashBack",4.4,427,BeFrugal,2020-06-24 00:00:00,[]
firefox,freebitco-in-automated_roll,Freebitco.in Automated_Roll,5.0,27,omid maroofi,2020-04-06 00:00:00,[]
firefox,hive-keychain,Hive Keychain,5.0,347,stoodkev,2020-06-19 00:00:00,[]
firefox,zilpay,ZilPay,5.0,55,lich666black,2020-07-22 00:00:00,[]
firefox,ledger-nano,Ledger Nano,1.0,0,Ledger Live Extension,2020-05-26 00:00:00,[]
firefox,live-ledger-nano,Live Ledger Nano,5.0,4,Ledger Nano®,2020-07-17 00:00:00,[]
firefox,mpchain_mpurse,Mpurse,0.0,59,mpchain,2020-02-29 00:00:00,[]
firefox,frosthaven-card-viewer,Frosthaven Card Viewer,0.0,10,any2cards,2020-04-12 00:00:00,[]
firefox,gloomhaven-card-viewer,Gloomhaven Card Viewer,0.0,39,any2cards,2020-06-20 00:00:00,[]
firefox,shoop-cashback-assistent,Cashback Assistent von Shoop.de,3.6,"3,846",Shoop.de,2020-07-02 00:00:00,[]
firefox,youtube-card-blocker,YouTube Card Blocker,0.0,3,NJRBailey,2020-04-05 00:00:00,[]
firefox,bitsafe-adblocker,BitSafe Adblocker,0.0,3,BitSafe Adblocker,2020-07-06 00:00:00,[]
firefox,santanderåterbäring-assistent,Santander Consumer Bank återbärings-assistent,2.0,64,Market2Member SaaS,2020-03-06 00:00:00,[]
firefox,mastercard-gold,Mastercard Gold,0.0,2,Market2Member SaaS,2020-03-06 00:00:00,[]
firefox,tcno-steam-card-assistant,TcNo Steam Card Assistant,0.0,24,Wesley Pyburn (TechNobo),2020-07-01 00:00:00,[]
firefox,cashbacker-assistenten,Cashbacker-assistenten,5.0,136,Cashbacker.se,2020-06-08 00:00:00,[]
firefox,cs-merge-repeated,Cardsphere merge repeated,0.0,2,giventofly,2020-02-07 00:00:00,[]
firefox,quick-currency-converter,Quick Currency Converter,4.7,92,martinez02,2020-05-27 00:00:00,[]
firefox,convert-crypto-currency,Convert (crypto)currency,3.5,10,bhspiers,2020-07-05 00:00:00,[]
firefox,currency-converter-affiliate,"Currency Converter, pnr status, Affiliate",3.9,28,Chetan,2020-03-05 00:00:00,[]
firefox,the-currency-conversion,The Currency Conversion,0.0,1,"ISHTWO, LLC",2020-04-10 00:00:00,[]
firefox,reddit-mtgcardfetcher-hover,Reddit MTGCardFetcher Hover,0.0,0,Suitangi,2020-07-20 00:00:00,[]
firefox,currencyconverter,Currency Converter,4.0,18,Unit Converter,2020-01-28 00:00:00,[]
firefox,immediate-currency-converter,Immediate Currency Converter,3.6,94,Yong Jia,2020-03-26 00:00:00,[]
firefox,ua-currency-converter,Universal Automatic Currency Converter,4.5,258,Baizey,2020-07-22 00:00:00,[]
firefox,pia,PAYBACK Internet Assistent (PIA),2.8,"6,040",PAYBACK GmbH,2020-05-29 00:00:00,[]
firefox,cryptonite-by-metacert,Zero Trust Internet Security,4.5,452,MetaCert,2020-07-17 00:00:00,[]
firefox,inter-planetary-flash-cards,Inter Planetary Flash Cards - Extension,0.0,2,Jacob Cohen-Rosenthal,2020-07-13 00:00:00,[]
firefox,add-link-to-qbittorrent-webui,Add Link to qBittorrent WebUI,4.2,247,CR,2020-06-06 00:00:00,[]
firefox,couponcabin,CouponCabin Sidekick - Coupons & Cash Back,4.6,"3,250",CouponCabin.com,2020-07-09 00:00:00,[]
firefox,fb-token-extractor-by-adprofit,Facebook ADS Token Extractor by AdProfit,0.0,25,Andrey Pochivalov,2020-06-29 00:00:00,[]
firefox,bitdice,BitDice extension,0.0,1,BitDice N.V.,2020-01-27 00:00:00,[]
firefox,bitbiz-tab-manager-updated,BitBiz Tab Manager UPDATED,0.0,0,ThatOneHidde,2020-07-20 00:00:00,[]
firefox,bitbiz-newtab,Bitbiz Newtab,5.0,1,Bluppie05,2020-02-27 00:00:00,[]
firefox,bitpay-decoder-anti-bitpay-com,Bitpay Decoder | Anti-Bitpay.com,5.0,1,Anti-Bitpay.com,2020-04-08 00:00:00,[]
firefox,pay-with-bitpay,Pay with BitPay,5.0,15,BitPay,2020-07-22 00:00:00,[]
firefox,money-motivator,Money Motivator,0.0,1,Robert Byrne,2020-02-06 00:00:00,[]
firefox,futuremoney,FutureMoney,5.0,2,Basti,2020-01-29 00:00:00,[]
firefox,moneysafe,MoneySafe,0.0,2,MoneySafe,2020-07-01 00:00:00,[]
firefox,money-is-time,Money is time,0.0,2,Vilva.,2020-01-28 00:00:00,[]
firefox,habitica-chat-client-2,Habitica Chat Client,4.5,20,Habitica Gryphons - Habitica Community Extensions,2020-07-12 00:00:00,[]
firefox,jeder-33-einkauf-gewinnt,Getyourmoneyback,5.0,22,Getyourmoneyback,2020-06-30 00:00:00,[]
firefox,crocobit-wallet,Crocobit Wallet,0.0,12,Crocobit,2020-02-21 00:00:00,[]
firefox,saturn-wallet,Saturn Wallet,4.8,119,Saturn Network,2020-01-26 00:00:00,[]
firefox,rabbit-url-opener,Rabbit URL Opener,5.0,561,Rahul Digital,2020-01-18 00:00:00,[]
firefox,microbitcoin-wallet-extension,Microbitcoin Wallet Extension,0.0,1,Nugetzrul3,2020-07-19 00:00:00,[]
firefox,atomic-wallet-exchange,Atomic Wallet,0.0,1,atomicwallet.io,2020-05-29 00:00:00,[]
firefox,atomic-wallet-io,Atomic Wallet,0.0,1,atomicwallet.io,2020-06-22 00:00:00,[]
firefox,sugarchain-wallet-extension,Sugarchain Wallet Extension,0.0,2,Nugetzrul3,2020-07-07 00:00:00,[]
firefox,taler-wallet,GNU Taler Wallet,4.8,94,TG ⊗ Θ,2020-06-03 00:00:00,[]
firefox,ads-wallet,ADS Wallet,4.8,15,Adshares,2020-03-22 00:00:00,[]
firefox,atomic_wallet,Atomic Wallet,5.0,2,Atomic Cryptocurrency Wallet,2020-05-30 00:00:00,[]
firefox,open-tabs-raise-money,"Open Tabs, Raise Money!",0.0,1,"Open Tabs, Raise Money",2020-03-26 00:00:00,[]
firefox,exodus-wallet,Exodus Crypto Wallet,5.0,6,Exodus Corp,2020-05-27 00:00:00,[]
firefox,paywallr,paywallr,4.2,432,tobimori,2020-06-13 00:00:00,[]
firefox,goldmint-lite-wallet,Goldmint Lite Wallet,0.0,12,Goldmint,2020-07-17 00:00:00,[]
firefox,thanos-wallet,Thanos Wallet,5.0,14,Madfish Solutions,2020-07-21 00:00:00,[]
firefox,nano-ledger-wallet-live,Nano Ledger Wallet,4.3,24,Ledger®,2020-07-17 00:00:00,[]
firefox,paywallblock,PayWallBlock,0.0,17,PoneyTruand,2020-04-25 00:00:00,[]
firefox,trust-wallet-s,Trust Wallet,0.0,29,Trust Wallet,2020-06-05 00:00:00,[]
firefox,paywall-blocker,Paywall-blocker,5.0,194,Bimbabeloebas,2020-07-14 00:00:00,[]
firefox,vechain-price-checker,VeChain Price Checker,5.0,2,A Byte Ahead,2020-03-18 00:00:00,[]
firefox,mallbery-cash-back-assistant,Mallbery: Cash Back Assistant,4.9,"15,787",Mallbery,2020-02-03 00:00:00,[]
firefox,unpaywall,Unpaywall,4.5,"31,578",Impactstory team,2020-02-19 00:00:00,[]
firefox,ether-metamask,MetaMask,4.3,"51,322",danfinlay,2020-07-20 00:00:00,[]
